SEASON_ID,GAME_DATE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL
22022,2023-04-09,0022201222,1610612764,WAS,WAS vs. HOU,L
22022,2023-04-09,0022201219,1610612748,MIA,MIA vs. ORL,W
22022,2023-04-09,0022201230,1610612744,GSW,GSW @ POR,W
22022,2023-04-09,0022201221,1610612749,MIL,MIL @ TOR,L
22022,2023-04-09,0022201228,1610612762,UTA,UTA @ LAL,L
22022,2023-04-09,0022201229,1610612746,LAC,LAC @ PHX,W
22022,2023-04-09,0022201228,1610612747,LAL,LAL vs. UTA,W
22022,2023-04-09,0022201224,1610612759,SAS,SAS @ DAL,W
22022,2023-04-09,0022201220,1610612754,IND,IND @ NYK,W
22022,2023-04-09,0022201216,1610612737,ATL,ATL @ BOS,L
22022,2023-04-09,0022201227,1610612743,DEN,DEN vs. SAC,W
22022,2023-04-09,0022201218,1610612766,CHA,CHA @ CLE,W
22022,2023-04-09,0022201223,1610612741,CHI,CHI vs. DET,W
22022,2023-04-09,0022201224,1610612742,DAL,DAL vs. SAS,L
22022,2023-04-09,0022201220,1610612752,NYK,NYK vs. IND,L
22022,2023-04-09,0022201223,1610612765,DET,DET @ CHI,L
22022,2023-04-09,0022201219,1610612753,ORL,ORL @ MIA,L
22022,2023-04-09,0022201226,1610612763,MEM,MEM @ OKC,L
22022,2023-04-09,0022201217,1610612755,PHI,PHI @ BKN,W
22022,2023-04-09,0022201222,1610612745,HOU,HOU @ WAS,W
22022,2023-04-09,0022201218,1610612739,CLE,CLE vs. CHA,L
22022,2023-04-09,0022201216,1610612738,BOS,BOS vs. ATL,W
22022,2023-04-09,0022201225,1610612750,MIN,MIN vs. NOP,W
22022,2023-04-09,0022201226,1610612760,OKC,OKC vs. MEM,W
22022,2023-04-09,0022201229,1610612756,PHX,PHX vs. LAC,L
22022,2023-04-09,0022201230,1610612757,POR,POR vs. GSW,L
22022,2023-04-09,0022201217,1610612751,BKN,BKN vs. PHI,L
22022,2023-04-09,0022201225,1610612740,NOP,NOP @ MIN,L
22022,2023-04-09,0022201227,1610612758,SAC,SAC @ DEN,L
22022,2023-04-09,0022201221,1610612761,TOR,TOR vs. MIL,W
22022,2023-04-08,0022201213,1610612762,UTA,UTA vs. DEN,W
22022,2023-04-08,0022201215,1610612757,POR,POR @ LAC,L
22022,2023-04-08,0022201215,1610612746,LAC,LAC vs. POR,W
22022,2023-04-08,0022201214,1610612759,SAS,SAS vs. MIN,L
22022,2023-04-08,0022201213,1610612743,DEN,DEN @ UTA,L
22022,2023-04-08,0022201214,1610612750,MIN,MIN @ SAS,W
22022,2023-04-07,0022201209,1610612752,NYK,NYK @ NOP,L
